 job_id |                                                  tool_id                                                  |  state  | total_filesize | num_files | runtime_seconds |   slots    |     memory_bytes     |        create_time         
   6775 | gate_finder                                                                                               | ok      |        1198203 |         3 |    1198.0000000 |  1.0000000 |    685867008.0000000 | 2022-06-14 18:16:38.909821
   9362 | scimap_mcmicro_to_anndata                                                                                 | ok      |          28594 |         1 |      73.0000000 |  4.0000000 |    483713024.0000000 | 2022-06-24 21:34:15.705889
   9339 | scimap_mcmicro_to_anndata                                                                                 | ok      |          34244 |         1 |      62.0000000 |  4.0000000 |    492240896.0000000 | 2022-06-24 21:34:15.705785
   9354 | scimap_mcmicro_to_anndata                                                                                 | ok      |          28409 |         1 |      71.0000000 |  4.0000000 |    490995712.0000000 | 2022-06-24 21:34:15.705855
   9330 | scimap_mcmicro_to_anndata                                                                                 | ok      |          25999 |         1 |      75.0000000 |  4.0000000 |    484401152.0000000 | 2022-06-24 21:34:15.705708
   9373 | scimap_mcmicro_to_anndata                                                                                 | ok      |          31861 |         1 |      62.0000000 |  4.0000000 |    483811328.0000000 | 2022-06-24 21:34:15.705935
   9383 | scimap_mcmicro_to_anndata                                                                                 | ok      |          33033 |         1 |      70.0000000 |  4.0000000 |    485691392.0000000 | 2022-06-24 21:34:15.705976
   9379 | scimap_mcmicro_to_anndata                                                                                 | ok      |          31677 |         1 |      67.0000000 |  4.0000000 |    483622912.0000000 | 2022-06-24 21:34:15.705959
   9343 | scimap_mcmicro_to_anndata                                                                                 | ok      |          29802 |         1 |      79.0000000 |  4.0000000 |    482992128.0000000 | 2022-06-24 21:34:15.705809
   8557 | gate_finder                                                                                               | ok      |          99217 |         3 |      29.0000000 |  1.0000000 |    567848960.0000000 | 2022-06-16 05:57:29.714759
   8562 | quantification                                                                                            | ok      |      220496296 |         3 |    2479.0000000 |  8.0000000 |  27510407168.0000000 | 2022-06-16 15:34:30.554565
   8577 | toolshed.g2.bx.psu.edu/repos/watsocam/rename_tiff_channels/rename_tiff_channels/0.0.1.2                   | deleted |          59984 |         2 |                 |            |                      | 2022-06-17 22:39:37.341517
   9369 | scimap_mcmicro_to_anndata                                                                                 | ok      |          33755 |         1 |      66.0000000 |  4.0000000 |    490467328.0000000 | 2022-06-24 21:34:15.705918
   9365 | scimap_mcmicro_to_anndata                                                                                 | ok      |          35306 |         1 |      77.0000000 |  4.0000000 |    490270720.0000000 | 2022-06-24 21:34:15.705901
   8571 | basic_illumination                                                                                        | ok      |          28976 |         1 |      94.0000000 |  8.0000000 |   2267955200.0000000 | 2022-06-17 20:53:22.09389
   8574 | unet_coreograph                                                                                           | error   |          28976 |         1 |      27.0000000 |  8.0000000 |    489852928.0000000 | 2022-06-17 21:10:44.880417
   8582 | __DATA_FETCH__                                                                                            | ok      |                |           |      24.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-17 22:52:36.792959
   8585 | __DATA_FETCH__                                                                                            | ok      |                |           |      25.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-17 22:59:51.256276
   8599 | unmicst                                                                                                   | error   |          32947 |         1 |      28.0000000 |  8.0000000 |    488554496.0000000 | 2022-06-20 14:28:16.971879
   8600 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:17.22715
   8601 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:17.688234
   8603 | __DATA_FETCH__                                                                                            | ok      |                |           |       8.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:21.086316
   8565 | quantification                                                                                            | error   |      225592251 |         3 |      29.0000000 |  8.0000000 |   1254653952.0000000 | 2022-06-16 15:36:04.69551
   8560 | quantification                                                                                            | ok      |      218410179 |         3 |    3588.0000000 |  8.0000000 |  50051035136.0000000 | 2022-06-16 15:30:05.3758
   8567 | upload1                                                                                                   | ok      |                |           |      10.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-16 21:18:32.844979
   8572 | __DATA_FETCH__                                                                                            | ok      |                |           |      84.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-17 20:53:53.612038
   8575 | __DATA_FETCH__                                                                                            | ok      |                |           |       6.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-17 22:33:10.295315
   8576 | __DATA_FETCH__                                                                                            | ok      |                |           |       6.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-17 22:39:16.108299
   8583 | __DATA_FETCH__                                                                                            | ok      |                |           |      26.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-17 22:54:44.971046
   8602 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:19.360714
   8606 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:26.007074
   6766 | gate_finder                                                                                               | ok      |        6314717 |         3 |    1236.0000000 |  1.0000000 |    659427328.0000000 | 2022-06-14 18:16:38.909784
   9361 | scimap_mcmicro_to_anndata                                                                                 | ok      |          28756 |         1 |      63.0000000 |  4.0000000 |    493154304.0000000 | 2022-06-24 21:34:15.705884
   9380 | scimap_mcmicro_to_anndata                                                                                 | ok      |          31720 |         1 |      70.0000000 |  4.0000000 |    490528768.0000000 | 2022-06-24 21:34:15.705964
   9377 | scimap_mcmicro_to_anndata                                                                                 | ok      |          23308 |         1 |      73.0000000 |  4.0000000 |    492642304.0000000 | 2022-06-24 21:34:15.705951
   9381 | scimap_mcmicro_to_anndata                                                                                 | ok      |          25856 |         1 |      69.0000000 |  4.0000000 |    489852928.0000000 | 2022-06-24 21:34:15.705968
   9338 | scimap_mcmicro_to_anndata                                                                                 | ok      |          31962 |         1 |      75.0000000 |  4.0000000 |    484118528.0000000 | 2022-06-24 21:34:15.70578
   6770 | gate_finder                                                                                               | ok      |        2376825 |         3 |    1239.0000000 |  1.0000000 |    625041408.0000000 | 2022-06-14 18:16:38.9098
   8568 | ludwig_train                                                                                              | ok      |          67298 |         3 |    1149.0000000 |  4.0000000 |   1459965952.0000000 | 2022-06-16 21:19:48.308304
